"surface","width_um","height_um","permission","orientations","margin_um","gap_um","minimum_side_um","enumerated","valid_distinct","after_quality","baseline","cap20","cap20_window20","cap20_novelty15","cap20_no_family_cap"
"singlePage","300000","300000","pagesOnly","horizontal","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","vertical","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","square","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","horizontal|horizontal","15000","5000","20000","3","3","2","2","2","2","2","2"
"singlePage","300000","300000","pagesOnly","vertical|horizontal","15000","5000","20000","4","4","4","4","4","4","4","4"
"singlePage","300000","300000","pagesOnly","vertical|vertical","15000","5000","20000","3","3","2","2","2","2","2","2"
"singlePage","300000","300000","pagesOnly","square|square","15000","5000","20000","2","2","2","2","2","2","2","2"
"singlePage","300000","300000","pagesOnly","horizontal|horizontal|horizontal","15000","5000","20000","6","6","4","2","2","3","2","2"
"singlePage","300000","300000","pagesOnly","vertical|horizontal|horizontal","15000","5000","20000","14","14","8","8","8","8","8","8"
"singlePage","300000","300000","pagesOnly","vertical|vertical|horizontal","15000","5000","20000","14","14","8","8","8","8","8","8"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical","15000","5000","20000","6","6","4","2","2","3","2","2"
"singlePage","300000","300000","pagesOnly","square|square|square","15000","5000","20000","2","2","2","2","2","2","2","2"
"singlePage","300000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal","15000","5000","20000","0","0","0","0","0","0","0","0"
"singlePage","300000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal","15000","5000","20000","11","11","11","8","8","8","8","10"
"singlePage","300000","300000","pagesOnly","vertical|vertical|horizontal|horizontal","15000","5000","20000","54","54","34","10","10","14","10","20"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|horizontal","15000","5000","20000","11","11","11","8","8","8","8","10"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical","15000","5000","20000","0","0","0","0","0","0","0","0"
"singlePage","300000","300000","pagesOnly","square|square|square|square","15000","5000","20000","0","0","0","0","0","0","0","0"
"singlePage","300000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","2","2","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","52","52","16","10","10","11","10","12"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","52","52","16","10","10","11","10","12"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","2","2","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","square|square|square|square|square","15000","5000","20000","0","0","0","0","0","0","0","0"
"singlePage","300000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","19","19","12","8","8","8","8","12"
"singlePage","300000","300000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","19","19","13","8","8","8","8","13"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","34","34","34","10","10","10","10","18"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","19","19","13","8","8","8","8","13"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","19","19","12","8","8","8","8","12"
"singlePage","300000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical|vertical","15000","5000","20000","1","1","1","1","1","1","1","1"
"singlePage","300000","300000","pagesOnly","square|square|square|square|square|square","15000","5000","20000","0","0","0","0","0","0","0","0"
"doubleSheet","600000","300000","pagesOnly","horizontal","15000","5000","20000","2","2","2","2","2","2","2","2"
"doubleSheet","600000","300000","pagesOnly","vertical","15000","5000","20000","2","2","2","2","2","2","2","2"
"doubleSheet","600000","300000","pagesOnly","square","15000","5000","20000","2","2","2","2","2","2","2","2"
"doubleSheet","600000","300000","pagesOnly","horizontal|horizontal","15000","5000","20000","1","1","1","1","1","1","1","1"
"doubleSheet","600000","300000","pagesOnly","vertical|horizontal","15000","5000","20000","2","2","2","2","2","2","2","2"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical","15000","5000","20000","1","1","1","1","1","1","1","1"
"doubleSheet","600000","300000","pagesOnly","square|square","15000","5000","20000","1","1","1","1","1","1","1","1"
"doubleSheet","600000","300000","pagesOnly","horizontal|horizontal|horizontal","15000","5000","20000","6","6","4","2","2","4","4","2"
"doubleSheet","600000","300000","pagesOnly","vertical|horizontal|horizontal","15000","5000","20000","14","14","12","10","10","12","12","10"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|horizontal","15000","5000","20000","14","14","12","10","10","12","12","10"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical","15000","5000","20000","6","6","4","2","2","4","4","2"
"doubleSheet","600000","300000","pagesOnly","square|square|square","15000","5000","20000","4","4","4","4","4","4","4","4"
"doubleSheet","600000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal","15000","5000","20000","21","21","12","6","6","12","6","6"
"doubleSheet","600000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal","15000","5000","20000","48","48","20","10","16","20","16","16"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|horizontal|horizontal","15000","5000","20000","58","58","32","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|horizontal","15000","5000","20000","48","48","20","10","16","20","16","16"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical","15000","5000","20000","21","21","12","6","6","12","6","6"
"doubleSheet","600000","300000","pagesOnly","square|square|square|square","15000","5000","20000","8","8","8","8","8","8","8","8"
"doubleSheet","600000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","36","36","16","4","4","12","8","4"
"doubleSheet","600000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","96","96","68","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","144","144","64","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","144","144","64","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","96","96","68","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical","15000","5000","20000","36","36","16","4","4","12","8","4"
"doubleSheet","600000","300000","pagesOnly","square|square|square|square|square","15000","5000","20000","8","8","8","8","8","8","8","8"
"doubleSheet","600000","300000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","38","38","16","4","4","15","4","4"
"doubleSheet","600000","300000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","114","114","76","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","208","208","130","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","288","288","176","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","208","208","130","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","114","114","76","10","20","20","20","20"
"doubleSheet","600000","300000","pagesOnly","vertical|vertical|vertical|vertical|vertical|vertical","15000","5000","20000","38","38","16","4","4","15","4","4"
"doubleSheet","600000","300000","pagesOnly","square|square|square|square|square|square","15000","5000","20000","4","4","4","4","4","4","4","4"
"doubleSheet","600000","300000","pagesAndSheet","horizontal","15000","5000","20000","4","4","2","2","2","4","2","2"
"doubleSheet","600000","300000","pagesAndSheet","vertical","15000","5000","20000","3","3","3","3","3","3","3","3"
"doubleSheet","600000","300000","pagesAndSheet","square","15000","5000","20000","3","3","3","3","3","3","3","3"
"doubleSheet","600000","300000","pagesAndSheet","horizontal|horizontal","15000","5000","20000","3","2","1","1","1","2","1","1"
"doubleSheet","600000","300000","pagesAndSheet","vertical|horizontal","15000","5000","20000","12","12","8","2","2","4","4","2"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical","15000","5000","20000","3","2","1","1","1","1","1","1"
"doubleSheet","600000","300000","pagesAndSheet","square|square","15000","5000","20000","3","2","1","1","1","1","1","1"
"doubleSheet","600000","300000","pagesAndSheet","horizontal|horizontal|horizontal","15000","5000","20000","12","12","6","4","4","7","4","4"
"doubleSheet","600000","300000","pagesAndSheet","vertical|horizontal|horizontal","15000","5000","20000","24","24","17","10","12","14","14","15"
